author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Rana, R.S. & Kumar, K. & Singh, H.",2004,,"Vertebrate fauna from the subsurface Cambay Shale (Lower Eocene), Vastan Lignite Mine, Gujarat, India.",Current Science,"Paleogene, Eocene","Asia, India","Galeorhinus sp., Triakis sp., Eogaleus sp., Abdounia sp., Galeocerdo latidense, Physogaleus sp., Rhizoprionodon sp., Rhinobatos sp., Dasyatis sp., Heterotorpedo sp., Myliobatis sp.,",,,,,,,"A rich collection of vertebrate fossils comprising mainly fish and some mammals has recently been recovered from subsurface beds of the Cambay Shale (Lower Eocene) exposed in the Vastan Lignite Mine, Surat District, Gujarat. Here we record a diverse assemblage of elasmobranch and teleostean fish, including the selachians Triakis, Eogaleus, Abdounia, Rhizoprionodon and Eutrichiurides, which are new to the subcontinent. The Vastan ichthyofauna has general affinities with the Palaeocene–Eocene fish assemblages from northern Africa, Europe and Uzbekistan, but it is most closely similar to faunas known from Rajasthan and the northwest subHimalaya. ",Rana,"Current Science, 87 (12): 1726–1733",Journal article,English,Rana et al. 2004,rana et al. 2004
"Rana R. S., Kumar K., H. Singh, K. D. Rose",2005,,"Lower vertebrates from the Late Palaeocene-Earliest Eocene Akli Formation, Giral Lignite Mine, Barmer District, western India",Current Science,,,,,,,,,,,Rana,,Journal article,English,Rana et al. 2005,rana et al. 2005
"Rana R. S., Kumar K., R. S. Loyal, A. Sahni, K. D. Rose, J. Mussel",2006,,"Selachians from the Early Eocene Kapurdi Formatino (Fuller's Earth), Barmer District, Rajathan",Journal of the Geological Society of INdia,,,,,,,,,,,Rana,,Journal article,English,Rana et al. 2006,rana et al. 2006
"Rahmat S., Muniz F., Toscano A., Esperante R., Koretsky I.",2018,,First European record of Homiphoca (Phocidae: Monachinae: Lobodontini) and its bearing on the paleobiogeography of the genus,Historical Biology,,,,,,,,, 	10.1080/08912963.2018.1507030,,Rahmat,,Journal article,English,Rahmat et al. 2018,rahmat et al. 2018
"Ray C. E., Wetmore A., D. H. Dunkle, P. Drez",1968,,Fossil vertebrates from the marine Pleistocene of southeastern Virginia,Smithsonian Miscellaneous Collections,,,,,,,,,,,Ray,,Journal article,English,Ray et al. 1968,ray et al. 1968
"Rayner, D. & Mitchell, T. & Rayner, M.",2009,,London Clay Fossils of Kent and Essex.,"Rochester, Kent, Medway Fossil and Mineral Society","Paleogene, Eocene, Ypresian","Europe, United Kingdom","Hexanchus agassizi, Hexanchus collinsonae, Weltonia burnhamensis, Notorynchus serratissimus, Xiphodolamia ensis, Squalus minor, Isistius trituratus, Heterodontus vincenti, Heterodontus woodwardi, Heterodontus sp., Palaeorhincodon dartevellei, Striatolamia macrota, Hypotodus verticalis, Odontaspis winkleri, Sylvestrilamia teretidens, Brachycarcharias lerichei, Palaeohypotodus rutoti, Jaekelotodus robustus, Macrorhizodus nolfi, Isurolamna inflata, Alopias crochardi, Anomotodon sheppeyensis, Cretalamna appendiculata, Cretalamna aff. aramboughi, Otodus obliquus mugodzharicus, Otodus obliquus, Paratodus priemi, Casieria casieri, Scyliorhinus woodwardi, Premontreia gilberti, Foumtizia pattersoni, Triakis wardi, Pachygaleus lefevrei, Galeorhinus ypresiensis, Megascyliorhinus cooperi, Abdounia beaugei, Physogaleus secundus, Squatina prima, Myliobatis dixoni, Myliobatis toliapicus, Leidybatis granulosus, Lophobatis phosphaticus, Burnhamia daviesi, Dasyatis wochadunensis, Raja sp., Edaphodon bucklandi, Elasmodus hunteri",,,,,,,no abstract,Rayner,"Rochester, Kent, Medway Fossil and Mineral Society, 228 p, ISBN: 978–0–9538243–1–1",Abstract,English,Rayner et al. 2009,rayner et al. 2009
"Razak H., Kocsis L., ",2018,,Late Miocene Otodus (Megaselachus) megalodon from Brunei Darussalam: Body length estimation and habitat reconstruction,Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen,,,,,,,,,10.1127/njgpa/2018/0743,,Razak,,Journal article,English,Razak & Kocsis 2018,razak & kocsis 2018
"Rebman, K. & Yilmaz, I.O. & Hosgor, I. & Wagreich, M. & Murray, A.M. & Cook, T.D.",2016,,Utilizing fossil shark teeth as a biostratigraphical tool to date the Karabogaz Formation in SE Turkey. Abstract.,"4th Annual Meeting, 2016, Canadian Society of Vertebrate Palaeontology","Cretaceous, Late Cretaceous","Asia, Turkey","Squalicorax lindstromi, Pseudocorax cf. granti, Scapanorhynchus cf. lewisii, Ctenopristis jordanicus",,,,,,,,Rebman,"In: 4th Annual Meeting, 2016, Canadian Society of Vertebrate Palaeontology: 64",Abstract,English,Rebman et al. 2016,rebman et al. 2016
"Reed M. D.,  , ",1946,,New species of fossil shark from New Jersey,Notulae Naturae,,,,,,,,,,,Reed,,Journal article,English,Reed 1946,reed 1946
"Rees J.,  , ",2002,,"Shark fauna and depositional environment of the earliest Cretaceous Vitabäck Clays at Eriksdal, southern Sweden",Earth and Environmental Science Transactions of the Royal Society of Edinburgh,,,,,,,,,10.1017/s0263593300000328,,Rees,,Journal article,English,Rees 2002,rees 2002
"Rees J.,  , ",2005,,"Neoselachian shark and ray teeth from the Valanginian, Lower Cretaceous, of Wawal, Central Poland",Palaeontology,,,,,,,,,10.1111/j.1475-4983.2005.00441.x,,Rees,,Journal article,English,Rees 2005,rees 2005
"Rees J., Cuny G., J. Pouech, J.-M. Mazin",2013,,"Non-marine selachians from the basal Cretaceous of Charente, SW France",Cretaceous Research,,,,,,,,,10.1016/j.cretres.2013.04.002,,Rees,,Journal article,English,Rees et al. 2013,rees et al. 2013
"Reeside J. B.,  , ",1955,,"Revised interpretation of the Cretaceous section on Vermilion Creek, Moffat County, Colorado",Wyoming Geological Association Guidebook - 1955,,,,,,,,,,,Reeside,,Journal article,English,Reeside 1955,reeside 1955
"Reguero M. A., Marenssi S. A., S. N. Santillana",2012,,"Weddellian marine/coastal vertebrates diversity from a basal horizon (Ypresian, Eocene) of the Cucullaea I Allomember, La Meseta formation, Seymour (Marambio) Island, Antarctica",,,,,,,,,,10.15381/rpb.v19i3.1006,,Reguero,,Journal article,English,Reguero et al. 2012,reguero et al. 2012
